omp_num_threads,graph,order,size,time,iterations,error,technique
"48","coPapersDBLP","540486","30491458","24.38","0","0.0000014915","pagerankNvgraph"
"2","indochina-2004","7414866","194109311","10280.213","60","0","pagerankOmp"
"2","indochina-2004","7414866","194109311","193.877","0","0.000040074","pagerankNvgraph"
"4","indochina-2004","7414866","194109311","6617.489","60","0","pagerankOmp"
"4","indochina-2004","7414866","194109311","193.993","0","0.0001054","pagerankNvgraph"
"8","indochina-2004","7414866","194109311","4819.928","61","0","pagerankOmp"
"8","indochina-2004","7414866","194109311","193.977","0","0.000021341","pagerankNvgraph"
"16","indochina-2004","7414866","194109311","3801.513","61","0","pagerankOmp"
"16","indochina-2004","7414866","194109311","195.008","0","0.000016562","pagerankNvgraph"
"28","indochina-2004","7414866","194109311","3570.395","61","0","pagerankOmp"
"28","indochina-2004","7414866","194109311","193.826","0","0.000013938","pagerankNvgraph"
"32","indochina-2004","7414866","194109311","3476.628","61","0","pagerankOmp"
"32","indochina-2004","7414866","194109311","194.254","0","0.000011571","pagerankNvgraph"
"48","indochina-2004","7414866","194109311","3993.056","61","0","pagerankOmp"
"48","indochina-2004","7414866","194109311","193.727","0","0.0000093049","pagerankNvgraph"
"2","italy_osm","6686493","14027956","2985.109","63","0","pagerankOmp"
"2","italy_osm","6686493","14027956","62.563","0","6.4568e-7","pagerankNvgraph"
"4","italy_osm","6686493","14027956","1571.808","63","0","pagerankOmp"
"4","italy_osm","6686493","14027956","62.091","0","6.4568e-7","pagerankNvgraph"
"8","italy_osm","6686493","14027956","826.914","63","0","pagerankOmp"
"8","italy_osm","6686493","14027956","62.316","0","6.4568e-7","pagerankNvgraph"
"16","italy_osm","6686493","14027956","502.667","63","0","pagerankOmp"
"16","italy_osm","6686493","14027956","62.112","0","6.4568e-7","pagerankNvgraph"
"28","italy_osm","6686493","14027956","477.573","63","0","pagerankOmp"
"28","italy_osm","6686493","14027956","62.06","0","6.4568e-7","pagerankNvgraph"
"32","italy_osm","6686493","14027956","465.407","63","0","pagerankOmp"
"32","italy_osm","6686493","14027956","62.234","0","6.4568e-7","pagerankNvgraph"
"48","italy_osm","6686493","14027956","413.655","63","0","pagerankOmp"
"48","italy_osm","6686493","14027956","62.25","0","6.4568e-7","pagerankNvgraph"
"2","great-britain_osm","7733822","16313034","4479.432","67","0","pagerankOmp"
"2","great-britain_osm","7733822","16313034","76.227","0","1.6188e-7","pagerankNvgraph"
"4","great-britain_osm","7733822","16313034","2311.328","67","0","pagerankOmp"
"4","great-britain_osm","7733822","16313034","76.372","0","1.6188e-7","pagerankNvgraph"
"8","great-britain_osm","7733822","16313034","1233.306","67","0","pagerankOmp"
"8","great-britain_osm","7733822","16313034","76.239","0","1.6188e-7","pagerankNvgraph"
"16","great-britain_osm","7733822","16313034","749.046","67","0","pagerankOmp"
"16","great-britain_osm","7733822","16313034","76.284","0","1.6188e-7","pagerankNvgraph"
"28","great-britain_osm","7733822","16313034","708.403","67","0","pagerankOmp"
"28","great-britain_osm","7733822","16313034","76.273","0","1.6188e-7","pagerankNvgraph"
"32","great-britain_osm","7733822","16313034","695.852","67","0","pagerankOmp"
"32","great-britain_osm","7733822","16313034","76.235","0","1.6188e-7","pagerankNvgraph"
"48","great-britain_osm","7733822","16313034","581.434","67","0","pagerankOmp"
"48","great-britain_osm","7733822","16313034","76.217","0","1.6188e-7","pagerankNvgraph"
"2","germany_osm","11548845","24738362","7294.709","65","0","pagerankOmp"
"2","germany_osm","11548845","24738362","113.824","0","2.0173e-7","pagerankNvgraph"
"4","germany_osm","11548845","24738362","3769.15","65","0","pagerankOmp"
"4","germany_osm","11548845","24738362","113.907","0","2.0173e-7","pagerankNvgraph"
"8","germany_osm","11548845","24738362","1984.92","65","0","pagerankOmp"
"8","germany_osm","11548845","24738362","113.837","0","2.0173e-7","pagerankNvgraph"
"16","germany_osm","11548845","24738362","1168.687","65","0","pagerankOmp"
